Lake,BIOCON,AREA,DEPMAX,DEPMN,MAT,GDD,COND,DOC,SEC,TP,AP,AP_Flag,RICH,CBio1,CBio2,CBio3,CBio4,CBio5,CBio6,CBio7,CBio8,CBio9,CBio10,CBio11,CBio12,CBio13,CBio14,CBio15,CBio16,CBio17,CBio18,CBio19,CBio20,CBio21,CBio22,CBio23,CBio24,CBio25,CBio26,CBio27,CBio28,CBio29,CBio30,CPA1,CPA2,CPA3,CPA4,CPA5,CPA6,CPA7,CPA8,CPA9,CPA10,CPA11,CPA12,CPA13,CPA14,CPA15,CPA16,CPA17,CPA18,CPA19,CPA20,CPA21,CPA22,CPA23,CPA24,CPA25,CPA26,CPA27,CPA28,CPA29,CPA30,CPA31,CPA32,CPA33,CPA34,CPA35,CPA36,CPA37,CPA38,CPA39,CPA40,CPA41,CPA42,CPA43,CPA44,CPA45,CPA46,CPA47,CPA48,CPA49,CPA50,CPA51,CPA52,CPA53,CPA54,CPA55,x_Waterbody_Name,x_Waterbody_LID,x_LakeID_Ignasi707,x_LakeID_Ignasi721
11,-1.04,48375,15.20,2.9,-0.3,1336,80,11.5,0.5,39.4,0.00,0,16,-0.2791,0.2726,-0.1131,-0.1049,-0.1746,-0.1300,-0.2333,0.0499,0.1510,-0.0240,-0.0235,0.0014,-0.2059,0.3320,-0.1223,0.0701,0.0284,0.0297,0.0407,0.0690,0.0716,0.0355,0.1191,0.0880,-0.0125,-0.0367,-0.0397,-0.0694,-0.0547,-0.0052,-0.2842,0.2302,-0.0538,0.0958,-0.0239,0.2065,0.1131,0.1577,-0.0828,-0.1439,-0.1069,-0.0353,0.0900,0.1318,-0.0367,-0.0270,-0.0587,-0.0354,0.0153,-0.0110,-0.1581,0.0073,0.0503,-0.0189,-0.0567,0.0333,-0.0054,-0.0042,0.0430,-0.0412,-0.0675,-0.0278,0.0397,0.0139,-0.0135,0.0839,0.1208,-0.0652,0.1077,0.0151,0.0375,-0.1325,0.0412,0.1160,0.0226,-0.0060,0.0496,-0.0455,0.0151,0.0151,0.0104,-0.0068,0.0217,0.0164,0.0008,Sandy L.,15-5000-58758,12,12
12,-1.11,2709,7.00,2.5,-0.3,1301,86,12.2,1.3,12.3,0.00,0,10,-0.4062,0.0413,-0.1705,0.0445,-0.0661,0.0417,0.0036,0.0557,0.0694,0.0552,0.0109,0.0270,-0.0095,-0.0103,-0.0335,0.0336,0.0066,0.0098,0.0214,0.0431,0.0242,-0.0059,0.1124,0.0347,-0.0443,-0.0537,0.0729,0.0683,0.0276,0.0255,-0.4060,0.1043,-0.1766,0.1014,0.0983,0.0070,0.0843,-0.0107,-0.0297,0.0061,0.0725,-0.0479,0.0123,0.0434,0.0575,0.0373,-0.0573,0.0442,0.0046,0.0041,-0.1747,0.1070,-0.0206,-0.0758,-0.0972,-0.0336,-0.0390,-0.0006,0.0608,-0.0341,-0.0371,-0.0031,-0.0192,-0.0020,0.0094,0.0352,0.1225,-0.0698,0.1340,-0.0354,-0.0740,0.0326,-0.0002,0.0011,-0.0139,-0.0167,-0.0028,-0.0011,0.0303,-0.0130,-0.0045,0.0019,-0.0097,-0.0056,-0.0051,Totogan L.,16-3492-57692,13,13
13,-0.99,329,4.70,1.0,0.4,1397,44,7.0,1.1,8.4,0.00,0,6,-0.2967,-0.0308,-0.3414,0.0707,0.0215,0.2155,-0.0680,0.0544,0.0593,0.1209,0.0149,0.0609,0.0374,-0.0396,0.0036,0.0018,-0.0027,-0.0107,-0.0107,0.0111,-0.0170,-0.0192,0.0046,-0.0109,-0.0074,-0.0074,-0.0133,-0.0216,-0.0013,-0.0024,-0.1682,-0.0650,-0.5375,-0.1044,-0.2202,0.0908,-0.0190,0.0027,0.0554,-0.0852,0.1476,0.0361,-0.0450,0.0129,0.0882,0.1590,0.0424,-0.0089,-0.0453,0.0272,0.0221,-0.0053,-0.0110,0.0415,0.0049,-0.0222,0.0091,-0.0389,0.0000,-0.0435,0.0179,-0.0289,-0.0083,-0.0173,0.0101,-0.0157,-0.0138,-0.0052,-0.0045,-0.0075,0.0116,0.0235,0.0080,0.0024,-0.0006,0.0092,-0.0083,-0.0058,0.0067,-0.0042,0.0065,-0.0032,-0.0053,0.0028,-0.0013,Tutu L.,15-5365-57696,14,14
14,-0.94,8028,7.00,3.8,-0.3,1329,108,8.4,1.6,11.3,0.00,0,15,-0.3528,-0.0166,-0.0332,0.1086,0.0113,-0.1422,0.0609,0.0473,0.1322,-0.0095,0.0246,0.0111,-0.0883,0.0820,-0.0579,0.0467,0.0590,-0.0232,0.0227,0.0569,0.0069,-0.0192,0.1072,0.0385,-0.0608,-0.0470,0.0813,0.0431,0.0574,-0.0037,-0.3050,0.1861,-0.1181,0.1895,-0.0266,0.1091,0.0363,0.1125,0.0769,-0.0568,-0.1192,-0.1528,0.2093,0.1618,-0.0064,-0.0683,-0.0191,-0.0120,-0.0613,-0.0578,-0.1279,0.0476,0.1295,-0.0685,-0.0230,0.0274,0.0043,0.0260,0.0772,-0.0307,-0.0542,-0.0101,-0.0005,0.0099,-0.0154,0.0510,0.0588,-0.0359,0.0946,-0.0287,-0.0678,0.0211,0.0213,0.0397,-0.0240,-0.0026,-0.0040,-0.0004,0.0258,0.0055,0.0021,0.0027,-0.0278,-0.0105,0.0006,Windigo L.,15-5988-58262,16,16
15,-0.99,25815,16.50,2.2,-1.2,1179,149,8.8,3.0,9.0,0.00,0,21,-0.2672,-0.0096,-0.2174,0.1561,-0.0534,0.1102,-0.0082,-0.1079,0.0213,0.0981,0.0348,0.0443,-0.0365,0.0797,-0.0516,0.0077,0.0230,-0.0145,-0.0267,-0.0566,-0.0476,0.0110,0.0056,-0.0348,-0.0299,0.0021,0.0434,0.0406,0.0264,-0.0048,-0.2459,0.1603,0.0212,0.2003,-0.0972,0.0959,-0.0708,0.0810,0.0555,0.0697,-0.1495,0.0848,0.1343,0.1276,-0.1810,0.1132,0.0020,-0.0997,0.0639,-0.0009,-0.1754,-0.1324,-0.0117,-0.0722,0.0318,-0.1094,-0.0275,0.1372,0.0073,-0.0632,0.0120,0.0780,-0.0332,-0.1034,-0.0192,-0.0805,0.1537,0.0034,0.1425,-0.0086,0.0861,0.0359,-0.1153,-0.0407,-0.1486,0.0141,0.0060,0.0396,0.0372,0.0010,0.0033,-0.0273,0.0145,-0.0229,-0.0196,Winisk L.,16-4753-58628,17,17
16,-1.05,958,3.20,1.6,-1.1,1171,50,12.6,0.8,22.0,0.00,0,4,0.0810,-0.3307,-0.2740,0.2265,0.0132,0.1550,-0.0767,-0.2961,-0.2294,-0.0225,0.0527,-0.1392,-0.0080,0.0670,0.0769,-0.0184,-0.0654,-0.0241,0.0131,0.0092,0.0749,-0.0418,0.0296,-0.0117,0.0115,0.0162,-0.0225,-0.0291,-0.0291,0.0305,-0.0156,0.0141,-0.4173,-0.1614,-0.1269,-0.0684,0.0140,-0.0047,-0.0064,-0.2589,0.0530,0.0970,0.1382,-0.0989,0.0103,0.3520,-0.0486,0.1724,-0.2142,0.0184,0.0872,-0.0548,-0.0229,-0.1497,0.0543,-0.0595,-0.0419,-0.0371,0.0438,0.0787,0.0221,-0.0270,-0.0216,-0.0415,0.0049,0.0616,0.0048,-0.0066,-0.0262,-0.0014,-0.0018,0.0019,-0.0212,-0.0081,-0.0066,-0.0186,-0.0158,-0.0126,-0.0058,0.0054,-0.0181,0.0011,-0.0082,0.0131,0.0036,McFaulds L.,16-5630-58465,18,18
17,-0.98,2157,2.78,1.5,-1.8,1089,69,14.0,0.6,20.0,0.00,0,8,-0.0884,0.2679,0.0591,0.1087,-0.1407,-0.1771,-0.0212,-0.3832,-0.0279,-0.0507,0.0523,-0.0439,-0.1359,0.3157,-0.1011,0.0573,0.1882,0.0934,-0.0455,-0.0845,-0.0330,-0.0201,-0.2070,-0.0925,0.0465,0.1125,-0.0827,-0.0564,-0.0049,0.0034,-0.2430,0.1643,-0.0766,-0.0482,0.2217,-0.0464,0.0818,0.0835,-0.1745,0.0013,-0.1895,-0.1233,0.1420,0.0878,-0.0568,-0.0963,0.0476,0.0330,-0.0365,-0.2125,0.0837,0.0317,0.0864,0.1256,0.0183,0.0721,-0.0556,0.0777,0.0561,0.0384,-0.0515,-0.0432,0.0473,0.0211,0.0155,0.0171,-0.0387,0.0556,0.0041,-0.0173,0.0230,-0.0013,0.0164,-0.0182,-0.0019,-0.0075,0.0033,-0.0056,-0.0175,0.0134,-0.0018,-0.0034,-0.0108,0.0011,0.0089,Wild Berry L.,16-5494-59810,19,19
18,-0.85,1162,20.40,5.5,2.4,1626,45,14.0,1.5,18.3,1.59,0,13,-0.4125,0.1464,-0.1027,-0.0106,-0.1940,0.0464,-0.0023,-0.0292,-0.0207,0.0581,0.0400,0.0130,0.0209,-0.0341,0.0190,-0.0075,0.0264,0.0109,-0.0068,0.0014,-0.0341,-0.0046,-0.0276,-0.0352,0.0166,0.0270,0.0057,0.1131,-0.0093,0.0720,-0.3724,0.0531,0.0129,0.1459,-0.0785,0.1743,0.0532,-0.0630,-0.2055,0.0034,-0.0402,-0.0456,0.0646,-0.0678,-0.0159,0.0111,-0.0942,-0.0048,0.0152,0.0106,-0.1010,0.0235,-0.0633,0.0139,-0.0499,-0.0304,-0.0263,0.0309,-0.0645,0.0259,0.0916,-0.0708,0.0740,0.0868,-0.0184,0.0905,-0.0760,0.0079,-0.0684,0.0035,0.0036,0.0087,-0.0193,-0.0067,-0.0100,-0.0109,-0.0036,0.0077,0.0093,0.0148,0.0006,0.0030,0.0041,0.0011,-0.0034,Amik L.,15-5782-55201,20,20
19,-0.63,596,31.00,5.7,1.3,1488,44,10.9,3.0,7.6,0.00,0,14,-0.4796,0.2877,-0.0065,-0.1439,0.1013,-0.0512,0.0129,-0.0217,-0.0253,-0.0450,0.0921,-0.0163,-0.0201,0.0037,-0.0199,0.0125,-0.0282,0.0150,0.0079,0.0357,-0.0747,0.0555,0.0706,-0.0039,0.0216,0.0009,0.0206,0.0135,-0.0109,-0.0060,-0.3507,0.0813,0.0004,0.1894,-0.0766,0.1409,-0.0044,-0.0054,-0.2536,0.0288,-0.1540,0.0171,-0.0143,-0.0557,0.0092,0.0739,-0.0769,-0.0089,0.0919,0.0458,-0.0970,0.0562,0.0388,-0.0720,-0.0034,-0.0208,-0.0001,-0.0168,0.0435,-0.0234,-0.0564,-0.0225,-0.0185,0.0166,-0.0062,-0.0161,0.0838,-0.0587,0.0642,-0.0157,-0.0510,0.0230,-0.0025,-0.0003,0.0007,-0.0238,0.0065,0.0053,0.0254,0.0039,-0.0049,-0.0010,-0.0140,-0.0031,0.0058,Arc L.,15-6471-56202,21,21
20,-0.81,768,18.00,6.2,2.4,1619,41,7.7,3.0,11.5,8.46,0,13,-0.4284,0.0828,-0.0524,-0.0248,-0.1498,-0.0135,0.0685,0.0245,0.0176,0.0217,0.0848,-0.0111,-0.0178,-0.0260,-0.0177,0.0036,0.0362,-0.0005,-0.0326,-0.0413,0.0182,-0.0076,-0.0426,-0.0027,-0.0153,0.0088,0.0057,0.0257,0.0100,0.0121,-0.3474,0.0296,-0.0608,0.2700,-0.0872,0.0081,-0.0928,-0.0455,-0.0651,0.1506,-0.1672,-0.0930,0.1071,-0.0382,0.0469,0.0434,-0.0176,0.0327,0.0048,0.0095,-0.0459,0.0834,0.0953,-0.0967,0.0092,-0.0324,0.0227,0.0085,0.0558,-0.0225,-0.0095,-0.0321,-0.0176,0.0031,-0.0073,-0.0522,-0.0511,-0.0095,-0.0468,0.0030,0.0244,0.0057,0.0147,-0.0224,0.0215,-0.0171,-0.0088,-0.0062,0.0062,0.0219,-0.0145,-0.0036,-0.0066,-0.0047,0.0102,Arethusa L.,15-5837-55088,22,22
21,-0.53,376,11.00,3.4,2.2,1599,47,13.7,0.7,14.7,4.50,0,8,-0.4518,0.1150,-0.1059,-0.1414,-0.1718,0.0542,0.0851,0.0823,-0.0767,-0.0620,0.0856,-0.0637,0.0162,-0.0856,0.0301,-0.0218,0.0513,-0.0199,-0.0064,0.0281,-0.0304,0.0028,0.0070,-0.0051,0.0141,0.0081,-0.0261,-0.0202,-0.0069,-0.0073,-0.2657,-0.0919,-0.2421,0.0804,-0.1313,-0.1440,0.0226,-0.1249,-0.0742,-0.1947,0.0748,-0.1226,-0.0374,-0.1413,0.0894,-0.0167,0.0688,-0.0831,0.0405,0.1203,0.0034,0.0135,-0.0351,0.0456,0.0422,0.0159,0.0496,0.0100,-0.0321,-0.0031,-0.0076,-0.0023,-0.0290,-0.0178,-0.0236,-0.0353,-0.0203,-0.0070,-0.0244,0.0330,0.0088,-0.0084,-0.0023,0.0005,0.0016,0.0020,0.0046,0.0016,0.0055,-0.0079,0.0081,-0.0008,0.0013,-0.0008,0.0002,Bawden L.,15-6011-55383,23,23
22,-0.81,4162,34.40,9.5,2.0,1520,42,6.3,3.3,5.0,1.42,0,14,-0.1022,0.1226,0.2110,0.2950,-0.0337,0.0470,-0.2521,-0.0202,-0.0911,0.1107,0.0023,0.0887,0.0691,-0.0884,0.0104,0.0162,-0.0411,0.0130,0.0177,-0.0418,0.0871,-0.0615,-0.0048,0.0468,-0.0201,-0.0591,0.0393,0.0134,0.0333,0.0051,-0.2549,0.1146,0.1405,0.0707,-0.0763,0.1291,-0.1928,-0.0750,0.0313,0.0077,0.1493,-0.0536,0.0885,-0.1716,0.0791,-0.0434,-0.0223,0.0798,0.0385,-0.0011,-0.1253,0.0808,-0.0112,-0.0415,-0.0679,-0.0091,0.0410,-0.0032,0.0480,-0.0200,-0.0131,-0.0036,-0.0395,-0.0062,0.0023,-0.0231,-0.0554,0.0073,0.0053,0.0398,-0.0103,-0.0121,0.0121,0.0032,-0.0072,-0.0035,-0.0120,-0.0008,0.0166,0.0088,-0.0036,0.0003,-0.0012,0.0017,-0.0006,Bell L.,15-6500-55194,24,24
23,-0.74,2662,11.60,4.7,0.9,1454,38,15.2,1.3,30.6,1.09,0,12,-0.3251,0.1456,-0.1300,-0.0230,-0.1881,-0.0111,-0.0302,-0.0580,0.0045,-0.0239,0.0422,-0.0400,-0.1132,0.2743,-0.1531,0.0730,0.0762,0.0622,0.0290,0.0925,-0.0529,0.0216,0.1710,0.0203,-0.0449,-0.0666,0.1354,0.1262,0.0599,0.0436,-0.3830,0.1140,-0.1578,0.1494,0.0031,0.0473,0.1235,-0.0420,-0.1258,0.0328,-0.0122,-0.0259,0.1038,0.1509,0.0341,0.0081,-0.0939,0.0592,0.0289,-0.0603,-0.0940,0.0593,0.0255,-0.0489,-0.0749,-0.0195,-0.0332,-0.0063,0.0613,-0.0320,-0.0404,-0.0093,-0.0141,0.0037,0.0132,0.0350,0.1052,-0.0634,0.1070,-0.0512,-0.0693,0.0257,0.0040,-0.0082,-0.0011,-0.0138,-0.0261,-0.0164,0.0363,0.0083,0.0153,0.0054,-0.0277,-0.0063,0.0178,Berens L.,15-4525-57350,25,25
24,-0.80,413,24.00,6.9,1.1,1465,40,11.4,1.5,5.4,0.50,0,10,-0.4789,0.3282,0.0226,-0.1103,0.0011,-0.0791,-0.0210,0.0175,0.0626,0.0457,0.0376,0.0531,0.0593,-0.0977,0.0295,0.0007,0.0151,0.0058,0.0190,0.0636,-0.1163,0.0338,0.0124,-0.0382,0.0433,0.0341,-0.0444,-0.0232,-0.0281,0.0038,-0.3072,0.0201,0.0380,-0.0136,0.0986,0.0877,-0.0225,0.0241,-0.1461,0.0055,0.0764,-0.1142,-0.1476,-0.1848,-0.1121,-0.1548,0.0386,-0.0756,0.0894,0.0555,0.0566,-0.0581,0.0022,-0.0316,-0.0476,-0.0363,-0.0786,-0.0558,0.0413,0.0482,0.0241,-0.1092,0.1195,-0.0493,-0.0421,-0.0781,-0.0138,-0.0103,0.0021,-0.0196,0.0357,0.0317,-0.0090,-0.0135,0.0066,-0.0082,-0.0090,-0.0251,-0.0015,0.0242,0.0002,0.0103,0.0050,0.0015,0.0114,Bertaud L.,15-6617-56410,26,26
